Date,Lat,Lon,Intensity
9/28/2024 12:00,36.6,-87.6,15
9/28/2024 6:00,37.4,-88,20
9/28/2024 0:00,38.1,-86.6,25
9/27/2024 18:00,36.7,-84.9,30
9/27/2024 12:00,34.4,-83.2,45
9/27/2024 6:00,31.3,-83.3,80
9/27/2024 0:00,28.7,-84.3,115
9/26/2024 18:00,26.7,-84.9,105
9/26/2024 12:00,24.7,-85.9,85
9/26/2024 6:00,23.6,-86.5,75
9/26/2024 0:00,22.8,-86.7,75
9/25/2024 18:00,22,-86.4,75
9/25/2024 12:00,21.1,-86.2,60
9/25/2024 6:00,20.3,-85.9,55
9/25/2024 0:00,19.8,-85.3,50
9/24/2024 18:00,19.4,-84.6,40
9/24/2024 12:00,19.4,-83.7,40
9/24/2024 6:00,18.6,-82.7,30
9/24/2024 0:00,18.2,-82.1,30
9/23/2024 18:00,17.9,-81.9,30
9/23/2024 12:00,17.2,-81.8,25
